ID,X,Y,Z,E
1001,15.6932,-7.71463,18.6,3.2337
1001,17.133,0.946105,18.6,3.8406
1001,17.7858,23.6631,18.6,3.75459
1001,-11.7491,19.362,18.6,3.84968
1001,8.09268,-4.07785,18.6,3.14241
1001,6.06462,22.2824,18.6,3.35567
1001,-6.84035,-1.90011,18.6,4.65642
1001,-9.96661,15.6504,18.6,3.76549
1001,4.62927,-18.793,18.6,3.14775
1001,-1.85552,21.8612,18.6,3.70011
1001,-19.2967,20.7133,18.6,3.87363
1001,13.0554,-10.7373,18.6,3.1333
1001,-15.835,3.60142,18.6,3.65564
1001,-15.4192,-6.73004,18.6,10.3693
1001,-3.04681,-1.41148,18.6,3.84308
1001,-9.28859,11.3941,18.6,3.97141
1001,-6.64642,-17.2751,18.6,3.20124
1001,4.36624,-13.7791,18.6,3.30954
1001,7.36518,21.2505,18.6,4.11576
1001,6.85929,21.6372,18.6,2.82258
1001,16.6881,-4.60925,18.6,3.99625
1001,12.1411,-17.0064,18.6,4.05863
1001,-21.614,-21.6706,18.6,3.20345
1001,-19.7976,-2.09266,18.6,3.39712
1001,-2.67868,-5.63798,18.6,1.66113
1001,20.141,7.1025,18.6,4.06394
1001,21.4515,-13.007,18.6,4.30282
1001,-18.5998,3.51344,18.6,4.04515
1001,8.8425,21.6786,18.6,5.4211
1001,18.4453,-15.2513,18.6,6.66281
1001,-11.8919,5.38757,18.6,3.41292
1001,-22.4689,-17.8841,18.6,3.69701
1001,19.1834,-12.8958,18.6,3.55656
1001,14.6743,-19.3104,18.6,3.683
1001,9.48202,-20.4433,18.6,3.38729
1001,22.2708,-13.6055,18.6,2.14613
1001,7.45436,-4.59652,18.6,3.73093
1001,19.619,-7.62421,18.6,0.800982
1001,19.4269,1.21067,18.6,5.79342
1001,23.6253,-9.37531,18.6,3.38025
1001,1.26244,2.23144,18.6,3.28323
1001,7.04774,-0.29047,18.6,4.10437
1001,-8.49351,10.3452,18.6,4.14909
1001,7.84303,14.9996,18.6,4.01455
1001,14.7061,6.05,19.6785,3.76938
1001,21.4537,0.181163,18.6,3.80499
1001,11.8554,10.8425,18.6,4.27897
1001,18.3982,12.1733,18.6,3.68863
1001,-17.1002,-6.23094,18.6,3.48208
1001,23.8367,-3.16147,18.6,2.54137
1001,-15.7339,1.99634,18.6,4.09344
1001,-1.00177,11.7642,18.6,4.26341
1001,10.9935,-11.1932,18.6,4.12072
1001,14.8365,14.1314,18.6,3.71926
1001,-18.4135,-20.5503,18.6,4.0372
1001,20.7858,-6.16601,18.6,4.32014
1001,14.2349,-3.58613,18.6,7.90699
1001,12.184,3.30782,18.6,3.34955
1001,22.1781,13.7308,18.6,3.80002
1001,3.01212,10.243,18.6,3.82944
1001,8.50362,23.2465,18.6,3.96717
1001,-4.11602,6.42519,18.6,3.71734
1001,0.657506,15.3693,18.6,3.88565
1001,-4.71542,2.24432,18.6,3.86173
1001,-2.26035,5.82387,18.6,3.11906
1001,-5.31875,6.39484,18.6,0.713895
1001,-3.27245,-1.72017,18.6,6.98989
1001,-22.3241,-10.1328,18.6,4.21174
1001,18.8958,4.80066,18.6,3.75625
1001,-2.73291,-22.5918,18.6,3.78408
1001,-10.1928,4.63636,18.6,7.50952
1001,-10.9505,6.16861,18.6,4.04102
1001,14.1384,-3.37707,18.6,3.93164
1001,22.3198,15.2839,18.6,3.6155
1001,6.66453,18.3693,18.6,6.82057
